 	slice	peaks
1124	1124	3167
1125	1125	3155
1126	1126	3152
1127	1127	3143
1128	1128	3139
1129	1129	3130
1130	1130	3126
1131	1131	3126
1132	1132	3125
1133	1133	3126
1134	1134	3111
1135	1135	3104
1136	1136	3102
1137	1137	3100
1138	1138	3089
1139	1139	3084
1140	1140	3073
1141	1141	3069
1142	1142	3066
1143	1143	3068
1144	1144	3069
1145	1145	3059
1146	1146	3051
1147	1147	3049
1148	1148	3044
1149	1149	3043
1150	1150	3041
1151	1151	3041
1152	1152	3041
1153	1153	3030
1154	1154	3021
1155	1155	3006
1156	1156	3000
1157	1157	3000
1158	1158	2997
1159	1159	2994
1160	1160	2988
1161	1161	2980
1162	1162	2976
1163	1163	2970
1164	1164	2967
1165	1165	2964
1166	1166	2954
1167	1167	2956
1168	1168	2948
1169	1169	2944
1170	1170	2936
1171	1171	2928
1172	1172	2927
1173	1173	2930
1174	1174	2925
1175	1175	2921
1176	1176	2911
1177	1177	2913
1178	1178	2908
1179	1179	2917
1180	1180	2905
1181	1181	2902
1182	1182	2896
1183	1183	2897
1184	1184	2905
1185	1185	2887
1186	1186	2894
1187	1187	2883
1188	1188	2890
1189	1189	2889
1190	1190	2887
1191	1191	2867
1192	1192	2878
1193	1193	2872
1194	1194	2865
1195	1195	2859
1196	1196	2850
1197	1197	2841
1198	1198	2853
1199	1199	2847
1200	1200	2850
1201	1201	2847
1202	1202	2843
1203	1203	2836
1204	1204	2834
1205	1205	2825
1206	1206	2818
1207	1207	2818
1208	1208	2811
1209	1209	2808
1210	1210	2803
1211	1211	2808
1212	1212	2802
1213	1213	2792
1214	1214	2793
1215	1215	2788
1216	1216	2784
1217	1217	2779
1218	1218	2773
1219	1219	2766
1220	1220	2764
1221	1221	2761
1222	1222	2759
1223	1223	2750
1224	1224	2753
1225	1225	2742
1226	1226	2747
1227	1227	2738
1228	1228	2732
1229	1229	2730
1230	1230	2720
1231	1231	2721
1232	1232	2720
1233	1233	2718
1234	1234	2722
1235	1235	2722
1236	1236	2716
1237	1237	2710
1238	1238	2715
1239	1239	2708
1240	1240	2700
1241	1241	2706
1242	1242	2704
1243	1243	2691
1244	1244	2687
1245	1245	2684
1246	1246	2687
1247	1247	2683
1248	1248	2682
1249	1249	2673
1250	1250	2678
1251	1251	2671
1252	1252	2666
1253	1253	2659
1254	1254	2654
1255	1255	2656
1256	1256	2651
1257	1257	2647
1258	1258	2652
1259	1259	2651
1260	1260	2644
1261	1261	2638
1262	1262	2630
1263	1263	2640
1264	1264	2625
1265	1265	2630
1266	1266	2620
1267	1267	2623
1268	1268	2615
1269	1269	2620
1270	1270	2612
1271	1271	2607
1272	1272	2600
1273	1273	2597
1274	1274	2591
1275	1275	2590
1276	1276	2582
1277	1277	2575
1278	1278	2579
1279	1279	2577
1280	1280	2577
1281	1281	2575
1282	1282	2580
1283	1283	2575
1284	1284	2575
1285	1285	2569
1286	1286	2565
1287	1287	2563
1288	1288	2559
1289	1289	2561
1290	1290	2554
1291	1291	2550
1292	1292	2547
1293	1293	2545
1294	1294	2545
1295	1295	2538
1296	1296	2534
1297	1297	2531
1298	1298	2533
1299	1299	2527
1300	1300	2528
1301	1301	2530
1302	1302	2523
1303	1303	2523
1304	1304	2518
1305	1305	2513
1306	1306	2517
1307	1307	2510
1308	1308	2507
1309	1309	2506
1310	1310	2501
1311	1311	2503
1312	1312	2495
1313	1313	2490
1314	1314	2482
1315	1315	2483
1316	1316	2486
1317	1317	2479
1318	1318	2474
1319	1319	2472
1320	1320	2466
1321	1321	2468
1322	1322	2462
1323	1323	2464
1324	1324	2460
1325	1325	2463
1326	1326	2467
1327	1327	2461
1328	1328	2457
1329	1329	2446
1330	1330	2445
1331	1331	2444
1332	1332	2439
1333	1333	2437
1334	1334	2429
1335	1335	2427
1336	1336	2424
1337	1337	2427
1338	1338	2420
1339	1339	2415
1340	1340	2413
1341	1341	2409
1342	1342	2399
1343	1343	2402
1344	1344	2400
1345	1345	2402
1346	1346	2401
1347	1347	2399
1348	1348	2395
1349	1349	2394
1350	1350	2399
1351	1351	2391
1352	1352	2386
1353	1353	2385
1354	1354	2381
1355	1355	2375
1356	1356	2376
1357	1357	2375
1358	1358	2370
1359	1359	2373
1360	1360	2370
1361	1361	2365
1362	1362	2366
1363	1363	2368
1364	1364	2361
1365	1365	2359
1366	1366	2357
1367	1367	2355
1368	1368	2349
1369	1369	2342
1370	1370	2338
1371	1371	2339
1372	1372	2334
1373	1373	2336
1374	1374	2332
1375	1375	2333
1376	1376	2325
1377	1377	2316
1378	1378	2318
1379	1379	2311
1380	1380	2313
1381	1381	2311
1382	1382	2308
1383	1383	2308
1384	1384	2306
1385	1385	2302
1386	1386	2298
1387	1387	2296
1388	1388	2287
1389	1389	2292
1390	1390	2292
1391	1391	2293
1392	1392	2283
1393	1393	2273
1394	1394	2276
1395	1395	2278
1396	1396	2272
1397	1397	2274
1398	1398	2268
1399	1399	2266
1400	1400	2264
1401	1401	2262
1402	1402	2259
1403	1403	2254
1404	1404	2255
1405	1405	2253
1406	1406	2247
1407	1407	2255
1408	1408	2247
1409	1409	2249
1410	1410	2239
1411	1411	2240
1412	1412	2240
1413	1413	2235
1414	1414	2231
1415	1415	2253
1416	1416	2251
1417	1417	2228
1418	1418	2224
1419	1419	2224
1420	1420	2248
1421	1421	2223
1422	1422	2214
1423	1423	2212
1424	1424	2212
1425	1425	2209
1426	1426	2207
1427	1427	2209
1428	1428	2197
1429	1429	2195
1430	1430	2192
1431	1431	2194
1432	1432	2187
1433	1433	2193
1434	1434	2183
1435	1435	2212
1436	1436	2210
1437	1437	2208
1438	1438	2215
1439	1439	2210
1440	1440	2208
1441	1441	2204
1442	1442	2205
1443	1443	2193
1444	1444	2191
1445	1445	2186
1446	1446	2185
1447	1447	2184
1448	1448	2171
1449	1449	2180
1450	1450	2174
1451	1451	2185
1452	1452	2178
1453	1453	2169
1454	1454	2169
1455	1455	2167
1456	1456	2167
1457	1457	2172
1458	1458	2167
1459	1459	2164
1460	1460	2161
1461	1461	2154
1462	1462	2146
1463	1463	2149
1464	1464	2149
1465	1465	2154
1466	1466	2144
1467	1467	2144
1468	1468	2150
1469	1469	2143
1470	1470	2142
1471	1471	2145
1472	1472	2143
1473	1473	2136
1474	1474	2140
1475	1475	2133
1476	1476	2130
1477	1477	2127
1478	1478	2128
1479	1479	2125
1480	1480	2122
1481	1481	2123
1482	1482	2117
1483	1483	2131
1484	1484	2123
1485	1485	2115
1486	1486	2110
1487	1487	2108
1488	1488	2106
1489	1489	2104
1490	1490	2101
1491	1491	2102
1492	1492	2093
1493	1493	2092
1494	1494	2096
1495	1495	2094
1496	1496	2087
