 	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory
260	25.028	40.868	1716.844	111.955	1	1	459	0
261	25.317	42.117	1716.860	111.946	1	1	460	0
262	25.282	41.118	1716.885	111.946	1	1	461	0
263	24.699	40.889	1716.838	111.978	1	1	462	0
264	24.811	41.766	1716.865	111.958	1	1	463	0
265	24.754	41.570	1716.845	111.949	1	1	464	0
266	25.009	41.178	1716.866	111.942	1	1	465	0
267	25.172	42.135	1716.839	111.963	1	1	466	0
268	24.726	41.469	1716.861	111.985	1	1	467	0
269	24.912	40.338	1716.857	111.978	1	1	468	0
270	25.045	40.895	1716.850	111.956	1	1	469	0
271	25.063	40.438	1716.837	111.945	1	1	470	0
272	25.026	41.361	1716.868	111.931	1	1	471	0
273	24.953	40.978	1716.865	111.928	1	1	472	0
274	24.762	40.397	1716.866	111.965	1	1	473	0
275	24.935	41.437	1716.863	111.942	1	1	474	0
276	24.984	40.891	1716.817	111.934	1	1	475	0
277	24.661	41.028	1716.842	111.967	1	1	476	0
278	24.813	41.111	1716.832	111.933	1	1	477	0
279	24.788	40.827	1716.867	111.940	1	1	478	0
280	24.937	42.375	1716.853	111.937	1	1	479	0
281	25.030	41.650	1716.811	111.946	1	1	480	0
282	25.075	41.781	1716.797	111.928	1	1	481	0
283	24.900	40.749	1716.846	111.933	1	1	482	0
284	25.019	40.937	1716.853	111.945	1	1	483	0
285	25.070	40.703	1716.846	111.940	1	1	484	0
286	25.054	41.145	1716.820	111.938	1	1	485	0
287	25.225	40.923	1716.874	111.909	1	1	486	0
288	24.985	42.639	1716.876	111.926	1	1	487	0
289	25.010	42.282	1716.870	111.971	1	1	488	0
290	25.053	42.429	1716.830	111.942	1	1	489	0
291	25.115	40.664	1716.836	111.937	1	1	490	0
292	24.891	42.095	1716.863	111.897	1	1	491	0
293	24.961	40.912	1716.867	111.945	1	1	492	0
294	24.997	41.744	1716.866	111.929	1	1	493	0
295	25.139	40.637	1716.864	111.922	1	1	494	0
296	25.336	40.539	1716.831	111.917	1	1	495	0
297	25.047	41.520	1716.812	111.945	1	1	496	0
298	25.176	42.099	1716.841	111.929	1	1	497	0
299	25.090	40.547	1716.790	111.937	1	1	498	0
300	25.164	41.084	1716.813	111.929	1	1	499	0
301	25.188	41.216	1716.796	111.948	1	1	500	0
302	25.386	39.983	1716.808	111.911	1	1	501	0
303	25.181	41.269	1716.797	111.951	1	1	502	0
304	25.272	41.514	1716.780	111.958	1	1	503	0
305	25.013	42.104	1716.805	111.946	1	1	504	0
306	25.341	40.817	1716.770	111.928	1	1	505	0
307	25.273	40.552	1716.818	111.929	1	1	506	0
308	24.976	40.955	1716.835	111.921	1	1	507	0
309	24.797	41.872	1716.834	111.922	1	1	508	0
310	24.997	40.953	1716.842	111.923	1	1	509	0
311	25.115	40.825	1716.850	111.893	1	1	510	0
312	24.999	41.731	1716.855	111.930	1	1	511	0
313	25.058	41.110	1716.830	111.923	1	1	512	0
314	24.791	40.967	1716.859	111.930	1	1	513	0
315	25.075	40.343	1716.846	111.910	1	1	514	0
316	25.000	41.563	1716.832	111.888	1	1	515	0
317	25.076	41.608	1716.827	111.935	1	1	516	0
318	25.148	41.210	1716.818	111.875	1	1	517	0
319	24.853	41.595	1716.862	111.882	1	1	518	0
320	24.937	40.784	1716.838	111.919	1	1	519	0
321	25.008	41.343	1716.841	111.883	1	1	520	0
322	25.233	41.499	1716.844	111.903	1	1	521	0
323	25.005	40.887	1716.862	111.885	1	1	522	0
324	24.611	42.049	1716.841	111.890	1	1	523	0
325	24.900	40.912	1716.845	111.892	1	1	524	0
326	25.052	40.840	1716.828	111.882	1	1	525	0
327	24.998	41.740	1716.835	111.953	1	1	526	0
328	25.056	41.125	1716.846	111.926	1	1	527	0
329	24.838	40.283	1716.816	111.930	1	1	528	0
330	24.842	41.367	1716.799	111.909	1	1	529	0
331	25.124	41.233	1716.800	111.899	1	1	530	0
332	24.886	41.815	1716.834	111.903	1	1	531	0
333	25.054	42.576	1716.836	111.897	1	1	532	0
334	25.278	41.107	1716.785	111.886	1	1	533	0
335	25.152	41.334	1716.823	111.890	1	1	534	0
336	25.184	41.723	1716.811	111.885	1	1	535	0
337	25.127	42.006	1716.818	111.890	1	1	536	0
338	24.926	41.348	1716.789	111.865	1	1	537	0
339	25.337	40.690	1716.822	111.863	1	1	538	0
340	25.166	41.065	1716.835	111.883	1	1	539	0
341	25.022	42.034	1716.807	111.904	1	1	540	0
342	25.087	41.521	1716.827	111.906	1	1	541	0
343	25.043	42.664	1716.809	111.920	1	1	542	0
344	25.283	41.265	1716.827	111.903	1	1	543	0
345	25.164	40.766	1716.845	111.927	1	1	544	0
346	25.147	41.695	1716.794	111.901	1	1	545	0
347	25.097	40.647	1716.813	111.904	1	1	546	0
348	25.307	41.556	1716.829	111.925	1	1	547	0
349	25.169	42.154	1716.857	111.925	1	1	548	0
350	25.220	40.805	1716.842	111.891	1	1	549	0
351	25.127	41.365	1716.872	111.944	1	1	550	0
352	24.957	42.700	1716.853	111.910	1	1	551	0
353	25.100	42.374	1716.845	111.935	1	1	552	0
354	25.072	41.796	1716.877	111.941	1	1	553	0
355	24.894	41.595	1716.903	111.952	1	1	554	0
356	24.779	40.896	1716.893	111.969	1	1	555	0
357	24.878	41.403	1716.849	111.926	1	1	556	0
358	25.072	40.367	1716.845	111.928	1	1	557	0
359	24.653	41.563	1716.824	111.939	1	1	558	0
360	24.686	41.784	1716.837	111.914	1	1	559	0
361	24.369	41.392	1716.854	111.939	1	1	560	0
362	24.778	41.389	1716.845	111.916	1	1	561	0
363	24.744	40.697	1716.844	111.954	1	1	562	0
364	25.176	39.713	1716.850	111.947	1	1	563	0
365	24.643	41.005	1716.854	111.933	1	1	564	0
366	24.836	39.815	1716.835	111.935	1	1	565	0
367	24.814	40.786	1716.858	111.949	1	1	566	0
368	24.718	40.740	1716.859	111.941	1	1	567	0
369	24.780	41.051	1716.855	111.966	1	1	568	0
370	24.881	41.061	1716.827	111.943	1	1	569	0
371	24.930	40.677	1716.826	111.933	1	1	570	0
372	24.686	40.508	1716.840	111.948	1	1	571	0
373	25.272	39.759	1716.847	111.945	1	1	572	0
374	25.157	40.176	1716.841	111.913	1	1	573	0
375	24.892	41.770	1716.819	111.940	1	1	574	0
376	25.011	40.845	1716.824	111.934	1	1	575	0
377	24.818	40.280	1716.824	111.995	1	1	576	0
378	25.120	41.263	1716.823	111.973	1	1	577	0
379	24.869	41.628	1716.853	111.928	1	1	578	0
380	24.929	40.844	1716.842	111.949	1	1	579	0
381	25.115	42.582	1716.836	111.966	1	1	580	0
382	25.241	41.596	1716.854	111.949	1	1	581	0
383	25.262	41.108	1716.880	111.945	1	1	582	0
384	25.017	41.588	1716.838	111.957	1	1	583	0
385	24.981	41.868	1716.883	111.964	1	1	584	0
386	25.095	41.616	1716.900	111.950	1	1	585	0
387	24.885	42.462	1716.867	111.946	1	1	586	0
388	25.146	40.900	1716.873	111.930	1	1	587	0
389	25.225	41.245	1716.866	111.925	1	1	588	0
390	24.975	41.756	1716.841	111.951	1	1	589	0
391	25.177	42.092	1716.883	111.918	1	1	590	0
392	25.046	42.317	1716.845	111.944	1	1	591	0
393	24.985	41.204	1716.833	111.954	1	1	592	0
394	25.140	40.476	1716.819	111.925	1	1	593	0
395	25.112	41.489	1716.843	111.889	1	1	594	0
396	25.230	41.522	1716.795	111.933	1	1	595	0
397	25.220	40.642	1716.818	111.942	1	1	596	0
398	25.035	40.497	1716.828	111.896	1	1	597	0
399	24.975	41.600	1716.830	111.932	1	1	598	0
400	25.266	40.922	1716.819	111.974	1	1	599	0
401	25.292	39.762	1716.814	111.966	1	1	600	0
402	25.026	41.678	1716.841	111.955	1	1	601	0
403	24.978	40.148	1716.800	111.923	1	1	602	0
404	24.869	41.629	1716.825	111.946	1	1	603	0
405	24.917	41.573	1716.816	111.946	1	1	604	0
406	24.856	42.366	1716.825	111.983	1	1	605	0
407	25.029	41.340	1716.806	111.919	1	1	606	0
408	24.718	40.260	1716.818	111.952	1	1	607	0
409	24.931	40.987	1716.812	111.933	1	1	608	0
410	25.046	41.368	1716.813	111.949	1	1	609	0
411	25.070	41.499	1716.852	111.930	1	1	610	0
412	24.883	41.680	1716.846	111.931	1	1	611	0
413	24.699	41.364	1716.827	111.956	1	1	612	0
414	24.789	40.502	1716.822	111.956	1	1	613	0
415	25.025	41.849	1716.852	111.923	1	1	614	0
416	25.025	40.735	1716.829	111.912	1	1	615	0
417	24.722	41.661	1716.840	111.941	1	1	616	0
418	24.739	40.259	1716.815	111.931	1	1	617	0
419	25.003	40.428	1716.819	111.910	1	1	618	0
420	24.918	41.248	1716.832	111.923	1	1	619	0
421	25.088	41.201	1716.813	111.888	1	1	620	0
422	24.857	40.295	1716.844	111.912	1	1	621	0
423	24.965	40.722	1716.797	111.915	1	1	622	0
424	24.760	41.371	1716.830	111.916	1	1	623	0
425	24.966	40.714	1716.827	111.947	1	1	624	0
426	24.936	40.795	1716.814	111.907	1	1	625	0
427	24.949	40.371	1716.795	111.902	1	1	626	0
428	24.915	41.912	1716.807	111.948	1	1	627	0
429	24.776	41.400	1716.817	111.934	1	1	628	0
430	24.897	41.892	1716.837	111.935	1	1	629	0
431	24.874	41.596	1716.788	111.902	1	1	630	0
432	25.061	41.092	1716.822	111.886	1	1	631	0
433	24.873	40.962	1716.824	111.920	1	1	632	0
434	25.286	40.133	1716.794	111.897	1	1	633	0
435	25.386	40.629	1716.756	111.944	1	1	634	0
436	25.274	41.025	1716.768	111.892	1	1	635	0
437	24.993	41.622	1716.805	111.913	1	1	636	0
438	25.073	40.359	1716.825	111.902	1	1	637	0
439	25.156	40.509	1716.777	111.906	1	1	638	0
440	24.814	40.791	1716.783	111.875	1	1	639	0
441	25.025	40.737	1716.787	111.865	1	1	640	0
442	24.875	41.587	1716.768	111.903	1	1	641	0
443	25.001	40.762	1716.772	111.930	1	1	642	0
444	25.132	40.694	1716.792	111.899	1	1	643	0
445	25.040	41.098	1716.783	111.913	1	1	644	0
446	25.095	40.984	1716.788	111.906	1	1	645	0
447	24.696	41.235	1716.744	111.916	1	1	646	0
448	24.932	40.507	1716.798	111.920	1	1	647	0
449	24.853	40.803	1716.756	111.901	1	1	648	0
450	25.220	40.489	1716.750	111.926	1	1	649	0
451	24.845	40.229	1716.764	111.904	1	1	650	0
452	24.605	41.150	1716.777	111.897	1	1	651	0
453	24.795	40.780	1716.749	111.917	1	1	652	0
454	25.023	41.391	1716.774	111.938	1	1	653	0
455	24.903	41.206	1716.774	111.919	1	1	654	0
456	24.541	41.012	1716.765	111.938	1	1	655	0
457	24.683	39.579	1716.741	111.932	1	1	656	0
458	25.036	39.374	1716.774	111.935	1	1	657	0
459	24.956	40.793	1716.785	111.916	1	1	658	0
460	24.730	40.008	1716.791	111.911	1	1	659	0
461	24.875	40.154	1716.788	111.916	1	1	660	0
462	24.600	40.548	1716.817	111.921	1	1	661	0
463	24.999	39.502	1716.803	111.927	1	1	662	0
464	24.878	41.567	1716.787	111.909	1	1	663	0
465	24.918	41.409	1716.796	111.929	1	1	664	0
466	24.722	40.074	1716.813	111.937	1	1	665	0
467	24.735	40.767	1716.787	111.927	1	1	666	0
468	25.294	39.754	1716.778	111.913	1	1	667	0
469	24.961	40.601	1716.783	111.927	1	1	668	0
470	25.136	39.546	1716.789	111.899	1	1	669	0
471	24.797	42.195	1716.776	111.910	1	1	670	0
472	25.067	40.570	1716.790	111.897	1	1	671	0
473	25.029	41.336	1716.785	111.913	1	1	672	0
474	25.001	40.600	1716.789	111.908	1	1	673	0
475	25.100	41.426	1716.782	111.896	1	1	674	0
476	25.084	39.635	1716.772	111.871	1	1	675	0
477	24.848	41.324	1716.763	111.893	1	1	676	0
478	24.953	40.663	1716.782	111.904	1	1	677	0
479	24.912	40.662	1716.775	111.911	1	1	678	0
480	25.049	41.507	1716.728	111.895	1	1	679	0
481	25.209	39.776	1716.777	111.883	1	1	680	0
482	25.059	41.429	1716.776	111.896	1	1	681	0
483	24.721	41.831	1716.766	111.888	1	1	682	0
484	24.773	42.700	1716.759	111.865	1	1	683	0
485	24.896	41.584	1716.786	111.899	1	1	684	0
486	25.042	40.602	1716.727	111.933	1	1	685	0
487	25.105	39.791	1716.739	111.919	1	1	686	0
488	24.809	40.673	1716.751	111.914	1	1	687	0
489	24.890	40.039	1716.737	111.923	1	1	688	0
490	25.187	40.432	1716.726	111.910	1	1	689	0
491	24.981	39.962	1716.749	111.929	1	1	690	0
492	25.079	39.838	1716.755	111.911	1	1	691	0
493	24.750	40.814	1716.767	111.933	1	1	692	0
494	25.115	39.714	1716.721	111.865	1	1	693	0
495	24.935	40.322	1716.740	111.924	1	1	694	0
496	24.881	40.109	1716.721	111.896	1	1	695	0
497	24.829	41.151	1716.758	111.909	1	1	696	0
498	25.029	40.711	1716.677	111.902	1	1	697	0
499	24.776	40.292	1716.730	111.914	1	1	698	0
500	24.543	41.150	1716.733	111.923	1	1	699	0
501	24.774	41.267	1716.699	111.912	1	1	700	0
502	24.804	41.347	1716.723	111.934	1	1	701	0
503	24.901	40.428	1716.752	111.932	1	1	702	0
504	24.827	40.210	1716.737	111.900	1	1	703	0
505	24.820	40.426	1716.733	111.928	1	1	704	0
506	24.738	40.110	1716.732	111.903	1	1	705	0
507	24.878	40.931	1716.749	111.927	1	1	706	0
508	24.974	39.861	1716.751	111.892	1	1	707	0
509	24.914	39.849	1716.760	111.952	1	1	708	0
510	24.947	40.389	1716.771	111.912	1	1	709	0
511	24.802	40.880	1716.779	111.911	1	1	710	0
512	24.897	40.621	1716.751	111.919	1	1	711	0
513	24.690	40.321	1716.754	111.936	1	1	712	0
