trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle_deg	msd_y	L_um	F_pN_abs	F_pN		
1065	202.65	204	-0.296	-0.213	-0.09	-0.216	1.35	0.206	0.153	-0.84	1.393875594535014e-14	14.69762896402358	2.430810004433406	2.430810004433406
1073	123.75	124.5	-0.795	0.008	-0.421	0.318	0.75	0.486	0.648	39.678	3.727814454918032e-14	13.97102751719686	1.129985099202071	1.129985099202071
1073	142.65	146.55	-0.04	0.116	1.33	-0.048	3.9	1.38	0.354	-6.845	3.727814454918032e-14	13.97102751719686	1.129985099202071	1.129985099202071
1073	150.6	152.85	2.311	0.095	3.534	0.151	2.25	1.224	0.544	2.62	3.727814454918032e-14	13.97102751719686	1.129985099202071	1.129985099202071
1073	160.5	161.25	4.41	0.186	4.912	0.225	0.75	0.503	0.671	4.423	3.727814454918032e-14	13.97102751719686	1.129985099202071	1.129985099202071
1073	162.45	166.8	5.458	0.112	7.474	0.445	4.35	2.043	0.47	9.381	3.727814454918032e-14	13.97102751719686	1.129985099202071	1.129985099202071
1120	206.1	206.85	-0.075	-0.08	0.385	0.028	0.75	0.473	0.63	13.209	3.391939396123952e-14	14.06152142680692	1.223772292856112	1.223772292856112
1139	195.75	199.2	-0.333	-0.097	-2.682	0.153	3.45	2.362	0.6850000000000001	173.933	9.059487914098455e-15	14.9080417458157	3.269195566050354	-3.269195566050354
1155	132.15	138.45	-0.915	0.163	-2.921	-0.326	6.3	2.065	0.328	-166.309	4.273787446747295e-14	13.82954647053017	1.004209168931349	-1.004209168931349
1282	237	238.2	-0	0.127	-0.626	-0.09	1.2	0.663	0.552	-160.838	3.761969744842924e-14	13.96198422805521	1.121229805108583	-1.121229805108583
1282	239.1	244.35	-0.364	0.165	-3.503	-0.404	5.25	3.19	0.608	-169.725	3.761969744842924e-14	13.96198422805521	1.121229805108583	-1.121229805108583
1282	245.7	246.6	-3.81	0.048	-4.405	-0.483	0.9	0.797	0.886	-138.257	3.761969744842924e-14	13.96198422805521	1.121229805108583	-1.121229805108583
1282	248.25	249.75	-4.058	-0.434	-3.118	-0.432	1.5	0.9399999999999999	0.627	0.122	3.761969744842924e-14	13.96198422805521	1.121229805108583	1.121229805108583
1282	250.35	251.7	-3.109	-0.127	-2.299	-0.375	1.35	0.847	0.627	-16.989	3.761969744842924e-14	13.96198422805521	1.121229805108583	1.121229805108583
1282	253.65	254.85	-1.809	-0.236	-1.148	-0.345	1.2	0.67	0.5580000000000001	-9.404	3.761969744842924e-14	13.96198422805521	1.121229805108583	1.121229805108583
1458	138.15	139.2	-0.707	-0.223	-0.486	-0.019	1.05	0.301	0.287	42.794	1.015467521587822e-14	14.85679828710376	3.028356137226908	3.028356137226908
1460	228	231.3	-0.133	0.125	1.157	0.479	3.3	1.338	0.405	15.357	3.845890475701924e-14	13.93988063479479	1.100268459729273	1.100268459729273
1574	152.1	153.3	-0.148	0.154	0.255	0.054	1.2	0.415	0.346	-13.882	1.109728029280464e-14	14.814829297646	2.850668949917361	2.850668949917361
1761	179.4	181.05	0.714	0.035	0.112	0.054	1.65	0.602	0.365	178.178	2.281603601856218e-14	14.38723992687172	1.68491078695743	-1.68491078695743
1829	155.85	161.4	-0.008999999999999999	-0.121	1.249	-0.081	5.55	1.259	0.227	1.81	1.746520258844353e-14	14.5663983428093	2.063578658203182	2.063578658203182
1829	165.9	170.4	1.959	-0.024	3.177	-0.004	4.5	1.218	0.271	0.927	1.746520258844353e-14	14.5663983428093	2.063578658203182	2.063578658203182
1950	122.55	123.3	0.228	0.322	-0.15	-0.141	0.75	0.597	0.796	-129.285	3.506492868903526e-14	14.03032525591721	1.190119178653021	-1.190119178653021
1950	147.15	148.2	-0.362	-0.152	-0.8120000000000001	0.145	1.05	0.539	0.513	146.608	3.506492868903526e-14	14.03032525591721	1.190119178653021	-1.190119178653021
