trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y
7986	430.2	430.95	-5.44	0.644	-6.374	0.669	0.75	0.9350000000000001	1.246	178.472	3.459026663237315e-14
7986	432.6	434.25	-6.96	0.617	-9.805	0.672	1.65	2.845	1.724	178.897	3.459026663237315e-14
8283	394.5	395.85	0.042	-0.239	0.573	-0.094	1.35	0.55	0.408	15.207	3.541871046036141e-14
8332	384	385.05	-0.174	0.114	0.078	0.191	1.05	0.264	0.252	16.997	1.267021985120207e-14
8563	398.7	399.6	-0.366	-0.158	-1.342	-0.353	0.9	0.995	1.106	-168.681	6.079337098058658e-14
8590	345.3	346.2	0.392	-0.387	-0.062	-0.08	0.9	0.548	0.609	145.999	4.930540878289949e-14
8646	343.5	345	0.65	0.13	-0.192	0.08599999999999999	1.5	0.843	0.5620000000000001	-177.01	3.840030917125804e-14
8671	435	438.45	-0.474	-0.062	0.645	0.035	3.45	1.123	0.325	4.961	2.435069976643433e-14
8671	438.9	444.75	0.643	-0.124	3.166	-0.018	5.85	2.525	0.432	2.417	2.435069976643433e-14
8755	385.65	386.55	-0.061	-1.474	0.106	-1.106	0.9	0.404	0.449	65.688	2.837514887963228e-14
8763	384	384.9	-0.154	0.164	-1.632	0.07000000000000001	0.9	1.481	1.646	-176.354	6.071538153059319e-14
8863	415.8	418.05	-0.728	0.046	0.301	-0.065	2.25	1.035	0.46	-6.138	2.56255657325714e-14
8871	431.25	432.9	-0.094	-0.023	0.275	0.097	1.65	0.389	0.236	18.092	1.934839635597135e-14
8890	503.25	505.05	-0.485	0.344	-1.493	0.494	1.8	1.019	0.5659999999999999	171.483	5.097437921038401e-14
8901	346.05	348.45	0.518	-0.029	0.06900000000000001	-0.058	2.4	0.451	0.188	-176.311	2.047339227862357e-14
9043	387	387.75	-0.109	-3.318	0.206	0.488	0.75	3.819	5.092	85.26600000000001	1.562567896063999e-14
9181	401.85	403.05	0.579	-0.12	0.922	0.044	1.2	0.38	0.316	25.579	3.192383010186937e-14
9370	368.85	369.6	0.418	0.457	-0.115	-0.115	0.75	0.782	1.043	-132.953	4.833973858833469e-14
9430	390.9	392.1	0.045	0.328	0.082	0.281	1.2	0.06	0.05	-52.297	2.594495898771039e-14
9454	402.6	403.5	0.272	-0.192	-0.554	-0.08	0.9	0.833	0.926	172.266	1.86461314758347e-14
9509	428.85	430.05	-0.173	0.106	0.366	0.183	1.2	0.545	0.454	8.135	1.417148535147392e-14
9520	486.3	488.1	-0.134	-0.416	0.806	-0.092	1.8	0.995	0.553	18.979	3.944528106113029e-14
9588	423.3	426.3	0.421	-0.292	1.995	-0.242	3	1.575	0.525	1.837	5.26495705113706e-14
9588	434.55	439.95	-0.573	-0.498	1.742	-0.125	5.4	2.345	0.434	9.151999999999999	5.26495705113706e-14
9588	441.45	443.55	2.28	0.008	3.394	0.123	2.1	1.119	0.533	5.867	5.26495705113706e-14
9588	460.5	462.3	1.845	-0.279	2.904	-0.357	1.8	1.062	0.59	-4.239	5.26495705113706e-14
9617	378.3	379.35	0.058	0.135	-0.216	0.08400000000000001	1.05	0.278	0.265	-169.335	4.039884045351472e-14
9709	394.8	395.85	0.139	-0.295	-0.8110000000000001	0.002	1.05	0.996	0.948	162.637	1.903734828016494e-14
9943	419.7	420.45	0.123	-0.392	-0.659	0.324	0.75	1.061	1.414	137.528	5.540536584104665e-14
9982	415.35	416.1	-0.048	-0.147	0.17	0.5679999999999999	0.75	0.748	0.997	73.078	6.431869135802466e-14
10288	413.55	415.05	0.171	0.07099999999999999	-0.778	0.031	1.5	0.95	0.633	-177.57	3.577576274348423e-14
10304	403.8	404.55	0.062	0.372	-0.533	0.408	0.75	0.596	0.795	176.565	2.622841330812854e-14
10533	425.7	427.8	-1.776	0.328	-2.778	-0.007	2.1	1.056	0.503	-161.479	8.037928607863436e-14
10611	491.7	494.1	-4.536	0.283	-3.272	1.129	2.4	1.521	0.634	33.789	1.422302040352338e-14
10614	496.2	497.25	-0.134	0.058	0.403	0.325	1.05	0.6	0.572	26.405	1.606992679418189e-14
10670	495.3	496.05	-0.187	-0.112	0.288	0.07000000000000001	0.75	0.509	0.678	20.958	2.625472931319196e-14
10670	496.35	497.55	0.318	-0.014	1.102	0.219	1.2	0.8179999999999999	0.6820000000000001	16.547	2.625472931319196e-14
10756	398.25	399.3	3.718	-0.606	3.056	-0.591	1.05	0.663	0.631	178.671	4.086492641256533e-14
10835	401.25	402.9	0.542	-0.881	0.077	-0.172	1.65	0.848	0.514	123.308	1.499653409614509e-14
10994	461.1	462.3	-0.29	0.206	0.45	0.074	1.2	0.751	0.626	-10.119	1.13496307568098e-13
11068	454.5	458.25	-1.794	-0.409	-0.461	0.166	3.75	1.452	0.387	23.351	7.238030468815692e-15
11068	459.9	462	-0.31	0.177	0.434	0.103	2.1	0.748	0.356	-5.692	7.238030468815692e-15
11068	464.55	465.9	0.336	0.246	0.79	0.149	1.35	0.465	0.344	-12.069	7.238030468815692e-15
11068	467.4	470.25	0.509	0.042	1.382	0.131	2.85	0.878	0.308	5.802	7.238030468815692e-15
11068	471.6	473.25	1.488	-0.005	2.085	0.12	1.65	0.61	0.37	11.849	7.238030468815692e-15
11068	474.3	476.1	2.227	0.131	2.866	0.079	1.8	0.641	0.356	-4.651	7.238030468815692e-15
11163	467.55	468.75	-0.198	-0.034	-2.419	-0.212	1.2	2.228	1.857	-175.43	1.520368613196616e-14
11284	445.95	446.85	-0.522	0.025	-0.027	0.425	0.9	0.636	0.707	38.968	1.975033251700682e-14
11284	447	447.75	-0.173	0.256	0.302	0.165	0.75	0.484	0.645	-10.841	1.975033251700682e-14
11419	426.45	427.35	4.358	2.524	1.955	0.319	0.9	3.261	3.624	-137.465	4.875232410642297e-14
11435	462.75	471.45	-0.379	-0.158	2.896	0.237	8.699999999999999	3.299	0.379	6.879	3.167530178571428e-14
11513	433.05	433.8	0.965	0.511	0.117	0.224	0.75	0.895	1.194	-161.277	3.21177911673554e-14
11620	466.5	467.55	-0.187	0.076	0.21	0.406	1.05	0.516	0.491	39.725	3.479465474876736e-14
11620	468.3	469.2	0.496	-0.101	0.949	0.171	0.9	0.528	0.586	30.914	3.479465474876736e-14
