trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y	L_um	F_pN_abs	F_pN	
10288	413.55	415.05	0.171	0.07099999999999999	-0.778	0.031	1.5	0.95	0.633	-177.57	3.577576274348423e-14	13.98696446552154	1.145675199055517	-1.145675199055517
10304	403.8	404.55	0.062	0.372	-0.533	0.408	0.75	0.596	0.795	176.565	2.622841330812854e-14	14.25788029110981	1.473997590330462	-1.473997590330462
10533	425.7	427.8	-1.776	0.328	-2.778	-0.007	2.1	1.056	0.503	-161.479	8.037928607863436e-14	12.93955769322213	0.5495834543129515	-0.5495834543129515
10611	491.7	494.1	-4.536	0.283	-3.272	1.129	2.4	1.521	0.634	33.789	1.422302040352338e-14	14.6636467562521	2.326646156467939	2.326646156467939
10614	496.2	497.25	-0.134	0.058	0.403	0.325	1.05	0.6	0.572	26.405	1.606992679418189e-14	14.59362542545282	2.132446971212684	2.132446971212684
10670	495.3	496.05	-0.187	-0.112	0.288	0.07000000000000001	0.75	0.509	0.678	20.958	2.625472931319196e-14	14.25708749725088	1.472832964977246	1.472832964977246
10670	496.35	497.55	0.318	-0.014	1.102	0.219	1.2	0.8179999999999999	0.6820000000000001	16.547	2.625472931319196e-14	14.25708749725088	1.472832964977246	1.472832964977246
10756	398.25	399.3	3.718	-0.606	3.056	-0.591	1.05	0.663	0.631	178.671	4.086492641256533e-14	13.85313744397852	1.023621154762667	-1.023621154762667
10835	401.25	402.9	0.542	-0.881	0.077	-0.172	1.65	0.848	0.514	123.308	1.499653409614509e-14	14.6338499875805	2.240826007426251	-2.240826007426251
10994	461.1	462.3	-0.29	0.206	0.45	0.074	1.2	0.751	0.626	-10.119	1.13496307568098e-13	12.25142417766029	0.3855230746440604	0.3855230746440604
11068	454.5	458.25	-1.794	-0.409	-0.461	0.166	3.75	1.452	0.387	23.351	7.238030468815692e-15	14.9797983067626	3.658731589292395	3.658731589292395
11068	459.9	462	-0.31	0.177	0.434	0.103	2.1	0.748	0.356	-5.692	7.238030468815692e-15	14.9797983067626	3.658731589292395	3.658731589292395
11068	464.55	465.9	0.336	0.246	0.79	0.149	1.35	0.465	0.344	-12.069	7.238030468815692e-15	14.9797983067626	3.658731589292395	3.658731589292395
11068	467.4	470.25	0.509	0.042	1.382	0.131	2.85	0.878	0.308	5.802	7.238030468815692e-15	14.9797983067626	3.658731589292395	3.658731589292395
11068	471.6	473.25	1.488	-0.005	2.085	0.12	1.65	0.61	0.37	11.849	7.238030468815692e-15	14.9797983067626	3.658731589292395	3.658731589292395
11068	474.3	476.1	2.227	0.131	2.866	0.079	1.8	0.641	0.356	-4.651	7.238030468815692e-15	14.9797983067626	3.658731589292395	3.658731589292395
11163	467.55	468.75	-0.198	-0.034	-2.419	-0.212	1.2	2.228	1.857	-175.43	1.520368613196616e-14	14.62598914070045	2.218992475907716	-2.218992475907716
11284	445.95	446.85	-0.522	0.025	-0.027	0.425	0.9	0.636	0.707	38.968	1.975033251700682e-14	14.46390810303201	1.832689098555478	1.832689098555478
11284	447	447.75	-0.173	0.256	0.302	0.165	0.75	0.484	0.645	-10.841	1.975033251700682e-14	14.46390810303201	1.832689098555478	1.832689098555478
11419	426.45	427.35	4.358	2.524	1.955	0.319	0.9	3.261	3.624	-137.465	4.875232410642297e-14	13.65591919170403	0.8774487153513659	-0.8774487153513659
11435	462.75	471.45	-0.379	-0.158	2.896	0.237	8.699999999999999	3.299	0.379	6.879	3.167530178571428e-14	14.09962663890039	1.266920731936455	1.266920731936455
11513	433.05	433.8	0.965	0.511	0.117	0.224	0.75	0.895	1.194	-161.277	3.21177911673554e-14	14.08722985739753	1.252627902107956	-1.252627902107956
11620	466.5	467.55	-0.187	0.076	0.21	0.406	1.05	0.516	0.491	39.725	3.479465474876736e-14	14.01348900278319	1.172549653913915	1.172549653913915
11620	468.3	469.2	0.496	-0.101	0.949	0.171	0.9	0.528	0.586	30.914	3.479465474876736e-14	14.01348900278319	1.172549653913915	1.172549653913915
11760	488.7	490.05	0.141	0.008	-0.403	0.241	1.35	0.592	0.438	156.78	1.07278362195943e-13	12.37813428695101	0.4093590648466447	-0.4093590648466447
11799	520.5	521.55	0.232	-0.023	-0.514	-0.082	1.05	0.748	0.712	-175.519	2.316041129662984e-14	14.35255287054057	1.624000089960398	-1.624000089960398
11839	505.95	506.85	-0.213	0.12	0.141	0.022	0.9	0.367	0.408	-15.526	1.154687192768872e-13	12.21138508897838	0.3784467845202841	0.3784467845202841
11843	459.3	460.8	0.107	0.234	-0.59	0.053	1.5	0.721	0.48	-165.506	6.003284725913249e-14	13.38960224966303	0.7264417022944092	-0.7264417022944092
12072	505.05	507	-0.698	-0.049	0.87	-0.055	1.95	1.568	0.804	-0.183	1.139850785123967e-14	14.77943782761612	2.712892101310468	2.712892101310468
12072	517.2	518.4	0.5570000000000001	0.028	-0.576	-0.048	1.2	1.135	0.946	-176.173	1.139850785123967e-14	14.77943782761612	2.712892101310468	-2.712892101310468
12172	498.3	499.2	-0.259	-0.369	0.06900000000000001	-1.208	0.9	0.901	1.001	-68.645	3.00344800734619e-14	14.14615465720612	1.322883200113928	1.322883200113928
12322	507.3	509.1	-0.195	-1.173	0.405	0.445	1.8	1.725	0.959	69.65000000000001	4.486871967813926e-14	13.75166740097293	0.9440369142305064	0.9440369142305064
12322	510.3	511.35	0.25	-0.299	0.848	0.239	1.05	0.805	0.766	41.947	4.486871967813926e-14	13.75166740097293	0.9440369142305064	0.9440369142305064
12635	493.5	494.7	0.384	0.173	-0.098	0.125	1.2	0.484	0.403	-174.406	3.346132194054073e-15	15.2378958694336	5.852773808453716	-5.852773808453716
28	420.9	426	2.315	-0.361	4.789	-0.414	5.1	2.474	0.485	-1.234	4.638120404813361e-15	15.1388965754344	4.821157302821681	4.821157302821681
28	430.05	433.35	2.046	-0.455	3.435	-0.374	3.3	1.391	0.422	3.329	4.638120404813361e-15	15.1388965754344	4.821157302821681	4.821157302821681
28	435	436.95	3.896	-0.133	4.512	-0.307	1.95	0.64	0.328	-15.779	4.638120404813361e-15	15.1388965754344	4.821157302821681	4.821157302821681
28	441.45	446.25	1.867	-0.138	3.648	-0.593	4.8	1.838	0.383	-14.342	4.638120404813361e-15	15.1388965754344	4.821157302821681	4.821157302821681
245	427.05	429.3	-0.946	-0.313	-0.346	-0.494	2.25	0.627	0.279	-16.802	7.62601180878078e-14	13.02833693414596	0.5786821118660647	0.5786821118660647
356	383.4	384.3	-0.272	-0.143	-0.595	-0.271	0.9	0.348	0.386	-158.363	3.747536958323252e-14	13.94159888253043	1.101875999106513	-1.101875999106513
457	381.3	382.2	-0.702	-0.641	-0.483	-0.201	0.9	0.491	0.545	63.477	3.178950937833852e-14	14.09642106559515	1.263200748508762	1.263200748508762
539	447.9	448.8	-0.178	0.19	0.213	0.183	0.9	0.39	0.434	-1.051	3.482402743484229e-14	14.01269116581203	1.171727074273451	1.171727074273451
540	441.45	442.2	-0.008	-0.146	0.29	-0.181	0.75	0.3	0.4	-6.734	4.939636644691023e-14	13.64026820134253	0.867263677737095	0.867263677737095
619	333.45	334.5	0.08599999999999999	0.149	-0.277	0.048	1.05	0.377	0.359	-164.403	4.559261021775015e-14	13.7336329154908	0.930904022628511	-0.930904022628511
830	449.85	450.9	-0.029	0.126	-0.602	0.511	1.05	0.6899999999999999	0.657	146.099	4.610948448518784e-14	13.72081022084349	0.921739021943988	-0.921739021943988
874	439.65	441.75	0.01	0.146	0.752	0.094	2.1	0.744	0.354	-3.99	3.20785041795142e-14	14.08832802754854	1.253883924801415	1.253883924801415
1153	351.15	352.05	-0.206	-0.027	0.306	-0.095	0.9	0.517	0.574	-7.577	4.435659728174247e-14	13.76448093787888	0.9535444326327086	0.9535444326327086
1351	398.85	400.05	-1.024	-0.267	-0.37	0.512	1.2	1.017	0.848	49.968	4.777971571216674e-14	13.67967288645574	0.8932678794480777	0.8932678794480777
1351	405.9	406.8	-0.629	0.019	-0.142	0.34	0.9	0.583	0.648	33.47	4.777971571216674e-14	13.67967288645574	0.8932678794480777	0.8932678794480777
1351	434.1	437.4	0.49	-0.151	1.84	-0.101	3.3	1.351	0.409	2.105	4.777971571216674e-14	13.67967288645574	0.8932678794480777	0.8932678794480777
1351	447.3	450	3.896	-0.018	4.821	0.061	2.7	0.928	0.344	4.892	4.777971571216674e-14	13.67967288645574	0.8932678794480777	0.8932678794480777
1351	454.2	457.5	6.512	-0.145	7.566	-0.301	3.3	1.066	0.323	-8.442	4.777971571216674e-14	13.67967288645574	0.8932678794480777	0.8932678794480777
1372	379.5	380.55	0.152	-0.08799999999999999	0.338	0.06	1.05	0.237	0.226	38.521	2.266154012161803e-14	14.36840470742557	1.65140800581414	1.65140800581414
1600	418.5	420.45	-1.005	-0.601	0.038	0.175	1.95	1.3	0.667	36.649	6.016882051172481e-14	13.38648139321053	0.7249197841177952	0.7249197841177952
