 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	Length
76	23	54.493	9.895	49.767	48	87.333	2103.500	1255	0	0	22	2093	1255	22	0	0	0	0	0.597	22	1253.333	0	0	0	0	1253.333	1	2093	1255	0	0	0	0	NaN	22
77	21	52.774	11.056	45.082	45	87.083	1616.500	1244.500	0	0	20	1607	1245	20	0	0	0	0	0.660	20	1108.250	0	0	0	0	1108.250	1	1607	1245	0	0	0	0	NaN	20
78	22	47.279	7.352	43.139	42.278	71.667	1661.250	1420.750	0	0	20.506	1651	1421	21	1	0	0	2.862	0.657	21	1040.148	0	0	0	0	1040.148	1	1651	1421	0	0	0	0	NaN	20.506
79	21	51.283	18.420	42.498	41.525	112.667	1737.500	1552.750	0	0	20.056	1728	1552	20	2	0	0	-2.862	0.656	20.100	1076.938	0	0	0	0	1076.938	1	1728	1552	174.289	0.074	0	0	NaN	20.056
80	23	56.447	11.295	50.062	49.821	91	2131.250	1489.500	0	0	21.523	2121	1489	22	1	0	0	-2.603	0.624	21.024	1298.284	0	0	0	0	1298.284	1	2121	1489	177.274	0.083	0	0	NaN	21.523
81	22	60.321	15.546	52.720	51.214	110.500	2311	1468.250	0	0	21.006	2301	1468	21	1	0	0	0	0.627	21.024	1327.071	0	0	0	0	1327.071	1	2301	1468	177.274	0.083	0	0	NaN	21.006
82	9	67.132	14.913	52.193	52.104	97.333	2301	1495.750	0	0	8.016	2297	1496	8	1	0	0	-7.125	1	8	604.188	0	0	0	0	604.188	1	2297	1496	0	0	0	0	NaN	8.016
83	23	52.926	16.107	45.417	43.500	108.917	1814.750	1607.500	0	0	21.500	1804	1608	22	0	0	0	0	0.625	22	1217.303	0	0	0	0	1217.303	1	1804	1608	0	0	0	0	NaN	21.500
84	23	54.786	9.361	52.960	43.500	79.917	1677.500	1925.500	0	0	22	1667	1926	22	0	0	0	0	0.597	22	1260.083	0	0	0	0	1260.083	1	1667	1926	0	0	0	0	NaN	22
85	22	59.793	32.168	45.821	42.048	170.833	2034.250	1865	0	0	20.500	2024	1865	21	0	0	0	0	0.658	21	1315.437	0	0	0	0	1315.437	1	2024	1865	0	0	0	0	NaN	20.500
